X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,QualityOfLife,CODE_DEFINED,LAT,LONG,ObjectId
-8476493.20312229,5320125.19177416,2024/04/24 00:00:00+00,1105,1105,500 JAMES ST     ,False,SIMPLE ASSAULT,43.053543,-76.145634001,81
-8477369.95988456,5316625.29338914,2024/02/09 00:00:00+00,1347,1347,300 FURMAN ST     ,False,SIMPLE ASSAULT,43.0305648950001,-76.1535100409999,82
-8477499.06110554,5316987.00592236,2024/02/09 00:00:00+00,1716,1716,600 MIDLAND AVE    ,False,SIMPLE ASSAULT,43.0329400680001,-76.154669777,83
-8479629.14286394,5317552.53223169,2024/02/09 00:00:00+00,1335,1336,1100 S  GEDDES ST     ,False,SIMPLE ASSAULT,43.0366533930001,-76.173804627,84
-8478042.10240587,5317965.97896355,2024/04/24 00:00:00+00,1130,1145,600 W  ONONDAGA ST     ,False,SIMPLE ASSAULT,43.039368,-76.159548,85
-8477972.16459995,5322229.47187567,2024/02/09 00:00:00+00,1737,1737,300 COURT ST     ,False,OFFN AGAINST FAMILY,43.0673542210001,-76.158919738,86
-8477972.16459995,5322229.47187567,2024/02/09 00:00:00+00,2106,2106,300 COURT ST     ,False,SIMPLE ASSAULT,43.0673542210001,-76.158919738,87
-8480035.84817828,5318954.51829796,2024/02/09 00:00:00+00,2150,2150,500 S  WILBUR AVE    ,False,SIMPLE ASSAULT,43.045858061,-76.177458123,88
-8477291.19678073,5319070.88521648,2024/04/24 00:00:00+00,1245,1245,400 S  SALINA ST     ,True,CRIMINAL MISCHIEF,43.0466220000001,-76.1528025,89
-8477979.96787362,5317342.94544613,2024/02/09 00:00:00+00,2240,2240,400 SOUTH AVE    ,False,ARSON,43.0352772430001,-76.158989836,90
-8479123.37132912,5316575.17788453,2024/02/09 00:00:00+00,2353,2353,300 CLAIRMONTE AVE    ,False,CRIMINAL MISCHIEF,43.0302358060001,-76.169261204,91
-8475408.29716864,5320336.48098368,2024/02/10 00:00:00+00,215,215,100 FOUNTAIN ST     ,False,SIMPLE ASSAULT,43.0549299150001,-76.135888125,92
-8472235.90530313,5322442.77622765,2024/02/10 00:00:00+00,1042,1047,2800 JAMES ST     ,False,SIMPLE ASSAULT,43.0687540480001,-76.1073900439999,93
-8480523.04238251,5316928.83685384,2024/02/10 00:00:00+00,1445,1456,100 REED AVE    ,False,POSSESSION/USE DANGEROUS WEAPONS,43.032558109,-76.181834663,94
-8476268.52599215,5315972.64315996,2024/02/09 00:00:00+00,2023,2024,1900 S  STATE ST     ,False,LIQUOR LAW VIOLATIONS,43.0262790570001,-76.143615692,95
-8476504.12289643,5320482.09578466,2024/02/09 00:00:00+00,200,200,600 HICKORY ST     ,False,SEX OFFENSES,43.055885721,-76.145732095,96
-8478247.61065366,5314786.91205921,2024/02/10 00:00:00+00,2245,2300,2000 SOUTH AVE    ,True,CRIMINAL MISCHIEF,43.018491806,-76.161394112,97
-8477443.98289316,5319085.96548592,2024/04/24 00:00:00+00,1516,1516,500 S  CLINTON ST     ,True,OFFN AGAINST FAMILY,43.046721,-76.1541750009999,98
-8474478.21914952,5319736.6800562,2024/02/11 00:00:00+00,50,50,900 CANAL ST     ,True,CRIMINAL MISCHIEF,43.0509927040001,-76.127533092,99
-8475230.22505651,5318868.76183981,2024/02/11 00:00:00+00,1430,740,900 MADISON ST     ,True,CRIMINAL MISCHIEF,43.0452950710001,-76.1342884759999,100
-8477360.96649422,5319958.27101767,2024/02/10 00:00:00+00,2350,2350,300 N  CLINTON ST     ,False,ALL OTHER OFFENSES,43.0524473,-76.153429252,101
-8471577.61370946,5319058.85422543,2024/02/11 00:00:00+00,1237,1315,100 GORLAND AVE    ,False,SIMPLE ASSAULT,43.0465430180001,-76.1014765099999,102
-8476085.68595492,5313880.53094578,2024/02/11 00:00:00+00,2000,900,100 HALL AVE    ,True,CRIMINAL MISCHIEF,43.0125385110001,-76.141973212,103
-8474503.07690313,5319120.4824864,2024/02/11 00:00:00+00,1417,1417,400 S  BEECH ST     ,True,CRIMINAL MISCHIEF,43.0469475990001,-76.127756393,104
-8475862.86930742,5309706.60005707,2024/02/11 00:00:00+00,1909,1909,200 EDNA RD     ,False,CRIMINAL MISCHIEF,42.9851158380001,-76.139971616,105
-8479925.62819009,5319783.79730256,2024/04/24 00:00:00+00,2003,2003,300 APPLE ST     ,False,SIMPLE ASSAULT,43.0513020000001,-76.1764679999999,106
